name,lat,lng,label,iron_oxide_index,ferrous_mineral_index,swir_b11_reflectance,swir_b12_reflectance,ndvi,elevation_m,slope_deg,dist_to_fault_km,temp_c,rainfall_mm,soil_moisture,data_source_live
bg_162,21.38306,80.14674,0,0.3098,0.2136,0.1607,0.1852,0.4394,342.1,4.0,49.842,27.04,9.66,0.55,True
Dongri_Buzurg,20.99,79.34,1,0.7621,0.5789,0.463,0.5299,0.3193,282.6,11.0,0.0,27.54,8.94,0.56,True
Ukwa_Mine_ext_5,21.91919,80.51475,1,0.7377,0.567,0.4535,0.528,0.3805,547.2,15.3,1.334,25.56,9.39,0.55,True
bg_432,21.07726,80.33408,0,0.3007,0.2103,0.1877,0.2306,0.423,349.6,2.7,78.802,26.51,9.7,0.54,True
Ramtek_Mine,21.4,79.33,1,0.6658,0.5608,0.4149,0.4861,0.3598,371.2,11.5,2.482,27.04,8.83,0.56,True
bg_419,21.83729,79.00642,0,0.2909,0.209,0.1466,0.219,0.4538,637.8,8.6,51.728,25.39,8.91,0.56,True
bg_170,20.66821,80.33981,0,0.2873,0.2121,0.1958,0.208,0.457,343.9,4.0,103.015,26.4,10.08,0.54,True
bg_430,20.72967,79.11417,0,0.3214,0.2109,0.166,0.2184,0.443,243.6,2.1,38.254,27.75,9.01,0.57,True
bg_159,21.48884,79.44009,0,0.2818,0.2404,0.1735,0.2212,0.4711,371.2,3.6,17.99,27.04,8.83,0.56,True
bg_352,20.62216,79.04919,0,0.3056,0.2532,0.1449,0.2089,0.4241,274.2,2.3,52.049,27.91,7.53,0.53,True
bg_354,22.1124,79.31563,0,0.3256,0.2245,0.1586,0.2293,0.4032,557.7,5.6,40.789,25.76,9.21,0.57,True
Miragpur_Deposit_ext_4,21.71358,79.80853,1,0.3015,0.2608,0.1757,0.2036,0.4714,342.1,2.9,44.271,27.04,9.66,0.55,True
bg_60,22.40973,80.33378,0,0.2708,0.2134,0.1761,0.2027,0.468,602.7,6.6,57.121,25.09,9.48,0.58,True
bg_285,22.04464,79.52581,0,0.2863,0.2066,0.1967,0.1959,0.4474,557.7,7.7,21.375,25.76,9.21,0.57,True
Miragpur_Deposit_ext_2,21.66776,79.80418,1,0.3069,0.2335,0.185,0.2105,0.4783,342.1,4.2,43.846,27.04,9.66,0.55,True
Tirodi_Mine_ext_5,22.13609,79.68354,1,0.6615,0.5373,0.4168,0.4795,0.3733,557.7,13.6,2.683,25.76,9.21,0.57,True
bg_172,20.64553,80.00132,0,0.264,0.2429,0.1895,0.2225,0.4668,264.0,2.3,81.932,27.26,10.04,0.57,True
bg_196,20.73505,79.85768,0,0.3047,0.2406,0.1855,0.1998,0.4077,264.0,1.6,64.053,27.26,10.04,0.57,True
bg_152,21.08642,78.85705,0,0.2961,0.2122,0.1558,0.2398,0.4281,337.0,2.8,33.16,27.44,7.58,0.52,True
Balaghat_Mine_ext_5,21.82155,80.19977,1,0.726,0.5565,0.4491,0.5108,0.409,469.5,12.6,1.434,26.16,9.74,0.56,True
Sandur_Mine_ext_2,15.08385,76.52758,1,0.2851,0.2305,0.1577,0.2422,0.415,591.2,7.0,726.116,26.94,3.04,0.51,True
Kandri_Mine_ext_3,21.33284,79.33479,1,0.5733,0.4528,0.3465,0.4277,0.3775,371.2,9.1,5.486,27.04,8.83,0.56,True
bg_132,22.21683,78.6963,0,0.3042,0.2322,0.1716,0.2024,0.4498,637.8,7.9,105.176,25.39,8.91,0.56,True
bg_220,21.66863,78.89486,0,0.303,0.2252,0.186,0.2176,0.4526,454.8,5.2,40.471,26.8,7.89,0.55,True
bg_324,20.75609,78.65032,0,0.3101,0.2284,0.1558,0.2053,0.4321,337.0,4.5,73.938,27.44,7.58,0.52,True
Ukwa_Mine_ext_4,21.90928,80.52676,1,0.6886,0.5458,0.4203,0.508,0.3483,547.2,13.0,2.419,25.56,9.39,0.55,True
Gumgaon_Mine,21.33,79.03,1,0.7628,0.6318,0.4703,0.5522,0.3263,454.8,15.1,0.0,26.8,7.89,0.55,True
bg_242,22.32185,79.69351,0,0.2627,0.2357,0.2029,0.2092,0.4396,508.3,5.2,18.028,25.74,9.89,0.58,True
bg_310,22.22473,80.67181,0,0.2785,0.2162,0.164,0.2204,0.4434,547.2,6.3,36.8,25.56,9.39,0.55,True
Balaghat_Mine_ext_3,21.82579,80.18579,1,0.7451,0.5872,0.4892,0.5036,0.3569,469.5,14.3,0.661,26.16,9.74,0.56,True
bg_254,22.47455,79.80273,0,0.3096,0.2382,0.1881,0.2009,0.4637,508.3,5.1,37.479,25.74,9.89,0.58,True
bg_320,21.7668,78.67699,0,0.3234,0.2546,0.1467,0.2297,0.4458,637.8,9.3,62.339,25.39,8.91,0.56,True
Sitapatore_Mine,21.52,79.72,1,0.3306,0.2196,0.1566,0.2322,0.3896,342.1,4.3,25.312,27.04,9.66,0.55,True
bg_77,21.44694,79.84833,0,0.3143,0.2025,0.2,0.2092,0.3954,342.1,4.3,26.515,27.04,9.66,0.55,True
bg_217,21.8915,80.42034,0,0.3871,0.2821,0.2305,0.3237,0.4689,547.2,7.8,11.859,25.56,9.39,0.55,True
bg_426,21.14736,80.39677,0,0.2846,0.2304,0.1588,0.2041,0.4535,349.6,3.8,79.173,26.51,9.7,0.54,True
Barabil_Mine_ext_2,22.10072,85.40868,1,0.3113,0.2397,0.1619,0.2353,0.4455,409.3,4.2,542.974,24.96,9.62,0.62,True
bg_417,21.01581,79.64051,0,0.2882,0.1994,0.188,0.2016,0.4409,282.6,2.3,31.619,27.54,8.94,0.56,True
bg_198,21.99209,79.93554,0,0.3251,0.2819,0.1581,0.2352,0.4647,469.5,6.3,33.489,26.16,9.74,0.56,True
Dongri_Buzurg_ext_5,20.99619,79.30827,1,0.6447,0.5376,0.3955,0.4678,0.3212,282.6,9.3,3.588,27.54,8.94,0.56,True
bg_410,21.32079,80.00706,0,0.2769,0.2481,0.1496,0.2166,0.4642,342.1,2.8,38.593,27.04,9.66,0.55,True
bg_109,21.86601,79.41579,0,0.2975,0.2443,0.1623,0.2292,0.4394,557.7,6.7,43.875,25.76,9.21,0.57,True
bg_404,20.87313,79.11088,0,0.3424,0.2351,0.17,0.2383,0.4238,282.6,1.4,28.55,27.54,8.94,0.56,True
Dongri_Buzurg_ext_2,20.98792,79.33458,1,0.7078,0.571,0.4674,0.5603,0.3233,282.6,11.1,0.644,27.54,8.94,0.56,True
Bharweli_Mine_ext_1,21.85166,80.25162,1,0.7029,0.5734,0.424,0.4926,0.3682,469.5,13.2,1.312,26.16,9.74,0.56,True
bg_61,21.97579,78.84481,0,0.2983,0.1987,0.1641,0.2194,0.5024,637.8,8.7,74.564,25.39,8.91,0.56,True
Gumgaon_Mine_ext_2,21.3566,79.02067,1,0.6713,0.5149,0.4301,0.4713,0.3612,454.8,12.9,3.129,26.8,7.89,0.55,True
Barabil_Mine,22.12,85.4,1,0.3351,0.2398,0.1806,0.1972,0.4794,409.3,4.9,542.09,24.96,9.62,0.62,True
bg_113,20.54654,79.29799,0,0.3161,0.2225,0.1817,0.224,0.4387,243.6,2.6,49.444,27.75,9.01,0.57,True
Mansar_Mine_ext_1,21.43137,79.24666,1,0.7054,0.559,0.4709,0.5065,0.381,371.2,12.0,1.027,27.04,8.83,0.56,True
bg_37,21.56271,80.66161,0,0.2836,0.2082,0.159,0.2337,0.4368,414.8,4.6,43.694,26.26,9.4,0.56,True
bg_121,22.10696,79.46353,0,0.2683,0.2144,0.1557,0.203,0.4191,557.7,7.3,24.739,25.76,9.21,0.57,True
bg_421,21.61353,78.6751,0,0.3136,0.2449,0.1836,0.2102,0.4493,454.8,5.7,50.422,26.8,7.89,0.55,True
Sandur_Mine_ext_4,15.06409,76.55277,1,0.2582,0.2277,0.1598,0.2016,0.4331,591.2,7.1,726.902,26.94,3.04,0.51,True
bg_311,22.39904,79.59069,0,0.264,0.2107,0.1785,0.2053,0.472,608.5,7.1,28.325,25.23,9.62,0.57,True
Sandur_Mine,15.08,76.55,1,0.3189,0.2416,0.1882,0.201,0.497,591.2,8.2,725.436,26.94,3.04,0.51,True
bg_382,21.68718,79.00712,0,0.3401,0.224,0.1753,0.2331,0.4744,454.8,5.7,38.466,26.8,7.89,0.55,True
bg_84,21.24923,80.1023,0,0.294,0.2122,0.1433,0.2183,0.4438,291.9,1.9,49.418,27.2,9.85,0.56,True
bg_55,21.00049,80.38889,0,0.2737,0.2508,0.1638,0.2231,0.4418,349.6,3.9,87.471,26.51,9.7,0.54,True
bg_321,20.98029,80.10146,0,0.2924,0.2487,0.1788,0.2173,0.41,291.9,2.7,60.503,27.2,9.85,0.56,True
bg_187,21.61681,78.56102,0,0.3192,0.238,0.1569,0.2499,0.4679,454.8,5.6,61.02,26.8,7.89,0.55,True
bg_75,20.69567,80.67875,0,0.2934,0.2616,0.1794,0.2185,0.4182,343.9,3.8,131.481,26.4,10.08,0.54,True
bg_326,20.77765,79.74083,0,0.3472,0.1892,0.1703,0.2108,0.4518,291.9,1.9,50.35,27.2,9.85,0.56,True
Ramtek_Mine_ext_1,21.36546,79.32952,1,0.7061,0.58,0.4348,0.512,0.3471,371.2,10.4,1.929,27.04,8.83,0.56,True
bg_425,20.87409,79.86254,0,0.3384,0.2232,0.1786,0.2308,0.4242,291.9,2.6,52.349,27.2,9.85,0.56,True
bg_48,20.5507,79.07153,0,0.3246,0.2261,0.1628,0.2324,0.4352,243.6,1.3,57.147,27.75,9.01,0.57,True
bg_165,20.73413,79.01054,0,0.3068,0.2201,0.1638,0.2226,0.4838,274.2,2.1,46.304,27.91,7.53,0.53,True
bg_334,20.88458,80.50123,0,0.2799,0.2542,0.1621,0.2221,0.4516,349.6,3.3,104.142,26.51,9.7,0.54,True
bg_74,21.44835,79.56261,0,0.309,0.2114,0.1796,0.2216,0.4242,371.2,3.7,19.698,27.04,8.83,0.56,True
bg_32,22.03999,79.38295,0,0.3179,0.2187,0.145,0.2031,0.4251,557.7,6.1,35.562,25.76,9.21,0.57,True
bg_294,22.01027,79.07424,0,0.2867,0.2099,0.2026,0.2249,0.427,557.7,6.0,66.238,25.76,9.21,0.57,True
bg_316,21.41827,78.58512,0,0.3292,0.2477,0.1668,0.223,0.415,454.8,5.5,50.344,26.8,7.89,0.55,True
bg_309,21.74417,80.73343,0,0.2636,0.1979,0.1582,0.2088,0.4694,414.8,4.9,31.412,26.26,9.4,0.56,True
bg_174,21.91248,78.72872,0,0.3082,0.212,0.164,0.2425,0.4467,637.8,8.0,72.792,25.39,8.91,0.56,True
Keonjhar_Deposit_ext_1,21.61399,85.56532,1,0.2827,0.2376,0.1836,0.2153,0.4344,341.5,3.0,561.128,25.34,9.52,0.61,True
bg_359,21.46905,78.54111,0,0.3027,0.2164,0.1691,0.2278,0.4165,454.8,6.4,56.419,26.8,7.89,0.55,True
Sausar_South_ext_2,21.67525,78.75477,1,0.2702,0.2328,0.1518,0.1827,0.4481,454.8,5.5,49.01,26.8,7.89,0.55,True
bg_252,21.25293,80.15381,0,0.3081,0.2257,0.19,0.251,0.4256,342.1,3.5,55.061,27.04,9.66,0.55,True
bg_424,22.03899,79.60535,0,0.332,0.2273,0.1599,0.2299,0.4591,557.7,5.8,15.782,25.76,9.21,0.57,True
Sandur_Mine_ext_5,15.08105,76.52943,1,0.3073,0.2157,0.1771,0.2206,0.4336,591.2,6.7,726.308,26.94,3.04,0.51,True
bg_219,21.75512,79.70909,0,0.3256,0.2489,0.1696,0.233,0.4104,469.5,5.2,45.058,26.16,9.74,0.56,True
bg_240,21.86946,79.46317,0,0.3064,0.2151,0.1841,0.2347,0.4905,557.7,6.4,40.241,25.76,9.21,0.57,True
bg_307,22.06731,79.1839,0,0.3324,0.2409,0.1948,0.1882,0.433,557.7,7.0,56.02,25.76,9.21,0.57,True
bg_361,21.23783,79.48388,0,0.2999,0.1994,0.1686,0.2232,0.4427,282.6,2.5,20.732,27.54,8.94,0.56,True
bg_190,20.72239,79.46928,0,0.304,0.2244,0.1636,0.1875,0.4048,243.6,1.2,32.989,27.75,9.01,0.57,True
bg_181,22.3945,78.97146,0,0.275,0.2435,0.1762,0.2058,0.4331,649.4,8.9,82.843,25.06,9.84,0.55,True
bg_236,21.89632,79.88119,0,0.2966,0.196,0.1788,0.2333,0.4504,469.5,5.0,35.059,26.16,9.74,0.56,True
bg_398,21.71155,79.01478,0,0.3019,0.2347,0.1742,0.2208,0.4272,454.8,5.0,39.878,26.8,7.89,0.55,True
bg_211,22.48593,78.55168,0,0.2826,0.2246,0.1654,0.2283,0.439,649.4,7.5,130.364,25.06,9.84,0.55,True
Mansar_Mine,21.44,79.25,1,0.7645,0.6098,0.4456,0.5445,0.3642,371.2,11.9,0.0,27.04,8.83,0.56,True
bg_19,20.68796,79.70305,0,0.2658,0.2069,0.1332,0.2377,0.4325,264.0,2.2,52.421,27.26,10.04,0.57,True
bg_137,22.30511,80.22491,0,0.276,0.2682,0.1625,0.2,0.462,508.3,5.7,49.561,25.74,9.89,0.58,True
bg_222,20.59089,78.5423,0,0.3208,0.2169,0.1922,0.2131,0.47,274.2,2.7,94.874,27.91,7.53,0.53,True
Beldongri_Mine_ext_5,21.16009,79.17578,1,0.7443,0.5537,0.447,0.535,0.3857,282.6,10.3,0.469,27.54,8.94,0.56,True
Barabil_Mine_ext_3,22.11598,85.41285,1,0.2875,0.2545,0.185,0.2223,0.4884,409.3,4.2,543.499,24.96,9.62,0.62,True
bg_422,21.64323,80.45778,0,0.2789,0.2293,0.1473,0.2152,0.3893,414.8,3.9,32.572,26.26,9.4,0.56,True
bg_243,22.14507,78.60802,0,0.3136,0.2392,0.1752,0.2118,0.4059,637.8,6.7,101.879,25.39,8.91,0.56,True
bg_146,21.13863,80.28371,0,0.3068,0.2117,0.1872,0.2155,0.4472,291.9,3.1,71.511,27.2,9.85,0.56,True
bg_397,22.47303,79.01621,0,0.297,0.2176,0.1992,0.2092,0.4211,649.4,8.0,81.463,25.06,9.84,0.55,True
bg_182,22.472,79.17424,0,0.3155,0.2355,0.1716,0.1967,0.4384,608.5,8.1,65.962,25.23,9.62,0.57,True
bg_30,20.75412,79.03409,0,0.307,0.2077,0.1472,0.2091,0.4022,337.0,2.5,42.878,27.44,7.58,0.52,True
bg_150,21.76367,79.42176,0,0.3037,0.2416,0.173,0.2096,0.4175,557.7,7.2,40.673,25.76,9.21,0.57,True
bg_340,20.74127,80.79525,0,0.2915,0.2486,0.1633,0.2235,0.4341,343.9,3.7,135.44,26.4,10.08,0.54,True
Mansar_Mine_ext_2,21.42009,79.22847,1,0.668,0.5088,0.4164,0.4584,0.3538,371.2,11.6,3.255,27.04,8.83,0.56,True
bg_435,21.46228,80.49478,0,0.3229,0.2481,0.1909,0.2218,0.5135,414.8,3.9,51.265,26.26,9.4,0.56,True
bg_79,21.3677,79.90634,0,0.3616,0.233,0.1742,0.231,0.4213,342.1,3.4,28.358,27.04,9.66,0.55,True
bg_192,20.52271,80.38012,0,0.296,0.2232,0.1519,0.21,0.4571,343.9,3.4,117.616,26.4,10.08,0.54,True
bg_26,20.561,79.56416,0,0.2752,0.2021,0.1751,0.2431,0.5066,243.6,1.8,53.728,27.75,9.01,0.57,True
bg_353,21.05376,78.75409,0,0.3044,0.197,0.1764,0.2254,0.4183,337.0,4.1,43.338,27.44,7.58,0.52,True
bg_27,20.5747,79.19317,0,0.3204,0.2035,0.1465,0.1972,0.4607,243.6,2.9,48.895,27.75,9.01,0.57,True
bg_250,20.59044,79.164,0,0.2971,0.2483,0.151,0.226,0.4752,243.6,2.1,48.463,27.75,9.01,0.57,True
bg_224,22.40082,78.77083,0,0.2916,0.2286,0.1442,0.2195,0.4127,649.4,7.7,104.398,25.06,9.84,0.55,True
bg_3,21.90497,80.71956,0,0.3182,0.2151,0.1645,0.2239,0.4388,547.2,7.1,22.325,25.56,9.39,0.55,True
bg_325,20.80381,79.22517,0,0.283,0.253,0.1557,0.1993,0.5266,282.6,2.6,24.282,27.54,8.94,0.56,True
Sukli_Deposit,21.72,79.85,1,0.3103,0.1949,0.1675,0.2133,0.4317,342.1,3.7,39.666,27.04,9.66,0.55,True
bg_23,21.58529,80.37818,0,0.3025,0.1875,0.1755,0.2439,0.429,414.8,4.5,33.195,26.26,9.4,0.56,True
bg_123,20.85488,79.33351,0,0.2968,0.2454,0.1781,0.2126,0.4279,282.6,2.4,15.016,27.54,8.94,0.56,True
bg_210,21.5554,79.47799,0,0.2754,0.2228,0.1969,0.2048,0.4144,371.2,4.2,26.203,27.04,8.83,0.56,True
Sukli_Deposit_ext_1,21.70246,79.86417,1,0.3257,0.2173,0.1567,0.249,0.4827,342.1,3.9,38.839,27.04,9.66,0.55,True
bg_356,20.86904,79.18151,0,0.3107,0.1865,0.1721,0.2067,0.4799,282.6,3.4,22.131,27.54,8.94,0.56,True
bg_178,21.24854,80.40951,0,0.2811,0.2506,0.1642,0.2073,0.4077,349.6,4.2,68.988,26.51,9.7,0.54,True
bg_303,21.37495,79.80627,0,0.2702,0.2302,0.1715,0.2317,0.4461,342.1,2.7,18.243,27.04,9.66,0.55,True
bg_2,21.89403,80.41042,0,0.3366,0.2637,0.1924,0.2685,0.3985,547.2,8.5,12.802,25.56,9.39,0.55,True
bg_64,21.3392,80.15608,0,0.2927,0.2358,0.186,0.2084,0.4697,342.1,3.8,54.609,27.04,9.66,0.55,True
bg_83,20.59061,79.79981,0,0.3106,0.2187,0.1567,0.2318,0.5213,264.0,1.9,67.604,27.26,10.04,0.57,True
bg_130,21.18161,78.84192,0,0.2862,0.2389,0.1806,0.207,0.3773,337.0,3.4,26.592,27.44,7.58,0.52,True
bg_248,22.36546,79.0643,0,0.2772,0.2309,0.1834,0.2089,0.4619,608.5,7.3,72.047,25.23,9.62,0.57,True
bg_291,21.30697,80.0152,0,0.2885,0.2163,0.1386,0.1997,0.4159,342.1,4.0,39.435,27.04,9.66,0.55,True
bg_322,20.65173,79.28171,0,0.2855,0.1924,0.1776,0.2217,0.5248,243.6,2.8,38.101,27.75,9.01,0.57,True
bg_241,20.82523,79.38122,0,0.3074,0.2024,0.1437,0.2366,0.4793,282.6,1.7,18.853,27.54,8.94,0.56,True
bg_357,20.9187,79.0373,0,0.2814,0.2512,0.1885,0.2128,0.4789,337.0,1.9,31.117,27.44,7.58,0.52,True
bg_221,22.30232,79.12631,0,0.2892,0.2346,0.1817,0.1875,0.4521,608.5,8.0,63.457,25.23,9.62,0.57,True
bg_5,21.08718,80.181,0,0.2788,0.237,0.1853,0.2502,0.4333,291.9,2.7,62.47,27.2,9.85,0.56,True
bg_244,22.3996,78.88245,0,0.2994,0.2193,0.1673,0.2351,0.4559,649.4,8.7,92.437,25.06,9.84,0.55,True
bg_107,20.53644,78.51065,0,0.3117,0.1954,0.1868,0.2324,0.4686,274.2,2.4,101.543,27.91,7.53,0.53,True
bg_385,21.49688,79.30529,0,0.4952,0.3523,0.3003,0.3499,0.4135,371.2,8.1,8.805,27.04,8.83,0.56,True
bg_103,22.3107,79.41771,0,0.3064,0.2333,0.1711,0.2016,0.467,608.5,6.5,33.578,25.23,9.62,0.57,True
bg_9,22.32648,80.20458,0,0.3409,0.2214,0.1443,0.2198,0.4999,508.3,6.3,52.143,25.74,9.89,0.58,True
bg_387,21.57421,80.72894,0,0.3213,0.2415,0.1873,0.21,0.4685,414.8,4.5,45.799,26.26,9.4,0.56,True
bg_226,21.41131,79.13033,0,0.3494,0.2519,0.2027,0.2458,0.4434,371.2,4.9,13.66,27.04,8.83,0.56,True
bg_275,20.75832,80.38394,0,0.3134,0.22,0.159,0.2218,0.4436,349.6,4.1,100.362,26.51,9.7,0.54,True
bg_336,20.83787,80.51181,0,0.3037,0.2112,0.1828,0.2271,0.4702,349.6,3.6,107.57,26.51,9.7,0.54,True
bg_228,21.05476,79.99827,0,0.3161,0.2334,0.1958,0.2276,0.4291,291.9,3.4,46.377,27.2,9.85,0.56,True
bg_308,21.29309,80.62611,0,0.3421,0.2028,0.2058,0.2022,0.5068,414.8,5.4,71.671,26.26,9.4,0.56,True
bg_258,22.43983,80.18492,0,0.2886,0.2109,0.1636,0.2164,0.4214,508.3,5.9,64.078,25.74,9.89,0.58,True
bg_179,21.24128,79.41352,0,0.2933,0.2326,0.1841,0.2125,0.4801,282.6,2.0,18.57,27.54,8.94,0.56,True
bg_446,22.02046,80.39938,0,0.307,0.2085,0.1892,0.2096,0.4408,547.2,6.5,16.736,25.56,9.39,0.55,True
bg_379,21.15499,79.67918,0,0.2954,0.2223,0.196,0.2089,0.4669,282.6,3.4,16.236,27.54,8.94,0.56,True
bg_312,20.79415,80.4827,0,0.2847,0.2127,0.1989,0.2175,0.5029,349.6,3.1,107.201,26.51,9.7,0.54,True
Barabil_Mine_ext_4,22.12852,85.39869,1,0.2685,0.2152,0.151,0.2114,0.4481,409.3,5.1,541.983,24.96,9.62,0.62,True
bg_59,21.05987,79.41376,0,0.4088,0.3377,0.2606,0.3182,0.4256,282.6,4.1,11.277,27.54,8.94,0.56,True
bg_251,20.55273,79.31805,0,0.3134,0.1965,0.1641,0.2083,0.4511,243.6,1.0,48.598,27.75,9.01,0.57,True
bg_287,22.20436,79.74637,0,0.4936,0.4069,0.3064,0.3429,0.3662,469.5,9.4,8.861,26.16,9.74,0.56,True
bg_277,21.71235,80.0978,0,0.316,0.2066,0.1518,0.2342,0.4381,342.1,3.8,16.592,27.04,9.66,0.55,True
bg_200,22.42435,79.76971,0,0.3139,0.188,0.1744,0.2336,0.4688,508.3,5.1,30.986,25.74,9.89,0.58,True
bg_31,21.54449,80.56902,0,0.3098,0.2107,0.1697,0.2132,0.4183,414.8,4.4,43.136,26.26,9.4,0.56,True
bg_313,22.35318,80.44246,0,0.2742,0.215,0.1803,0.2319,0.4475,602.7,7.1,47.755,25.09,9.48,0.58,True
bg_117,21.89347,79.54061,0,0.3044,0.2237,0.1923,0.2132,0.4149,557.7,6.3,33.386,25.76,9.21,0.57,True
bg_191,21.48525,80.55314,0,0.3002,0.2372,0.1673,0.2014,0.4273,414.8,4.8,49.504,26.26,9.4,0.56,True
bg_255,20.80083,79.59492,0,0.3239,0.2395,0.1862,0.2159,0.4395,282.6,3.2,35.236,27.54,8.94,0.56,True
bg_44,22.09037,80.55595,0,0.3217,0.26,0.1616,0.2406,0.4459,547.2,6.4,18.243,25.56,9.39,0.55,True
bg_203,22.2372,80.68144,0,0.3154,0.2362,0.1762,0.2266,0.4452,547.2,6.8,38.521,25.56,9.39,0.55,True
bg_16,22.28001,78.87781,0,0.3062,0.2207,0.182,0.2452,0.4059,649.4,8.4,90.034,25.06,9.84,0.55,True
bg_78,20.8464,79.66354,0,0.2858,0.204,0.19,0.2313,0.4621,282.6,3.1,39.291,27.54,8.94,0.56,True
bg_301,21.67984,80.62807,0,0.3123,0.2457,0.1813,0.2045,0.4136,414.8,4.6,30.248,26.26,9.4,0.56,True
bg_142,21.2784,78.58406,0,0.2891,0.2437,0.1657,0.206,0.3784,454.8,4.9,49.83,26.8,7.89,0.55,True
bg_116,20.73633,79.01659,0,0.3158,0.21,0.1744,0.2224,0.4446,274.2,2.7,45.624,27.91,7.53,0.53,True
Sandur_Mine_ext_1,15.07196,76.56542,1,0.3306,0.2376,0.1774,0.2121,0.4142,500.5,5.4,725.515,27.84,2.83,0.48,True
bg_0,22.25475,79.3024,0,0.3469,0.1988,0.1457,0.2412,0.494,608.5,7.3,43.213,25.23,9.62,0.57,True
bg_429,20.98482,79.80118,0,0.3223,0.2189,0.1656,0.2243,0.4639,291.9,1.9,38.334,27.2,9.85,0.56,True
bg_108,20.68889,79.26705,0,0.3297,0.2375,0.1695,0.225,0.4134,243.6,2.8,34.39,27.75,9.01,0.57,True
bg_416,22.13414,80.16387,0,0.2892,0.2352,0.2012,0.2182,0.4689,469.5,4.9,32.246,26.16,9.74,0.56,True
bg_302,21.28449,78.91532,0,0.3344,0.2553,0.1987,0.2548,0.4221,454.8,5.5,13.695,26.8,7.89,0.55,True
bg_234,22.44879,80.50995,0,0.3248,0.2186,0.1712,0.2506,0.428,602.7,8.1,57.596,25.09,9.48,0.58,True
bg_7,22.12023,78.91684,0,0.3291,0.2019,0.1562,0.2032,0.4358,637.8,8.0,84.075,25.39,8.91,0.56,True
bg_438,21.17321,80.10418,0,0.3107,0.2088,0.1955,0.218,0.4177,291.9,2.8,51.273,27.2,9.85,0.56,True
bg_169,20.70225,78.73945,0,0.2879,0.2362,0.1389,0.2341,0.4464,274.2,1.7,70.519,27.91,7.53,0.53,True
bg_402,20.99192,78.71042,0,0.2993,0.2171,0.157,0.2183,0.4588,337.0,3.3,51.639,27.44,7.58,0.52,True
bg_377,21.14416,79.99419,0,0.3129,0.237,0.1752,0.1922,0.47,291.9,2.2,40.93,27.2,9.85,0.56,True
Keonjhar_Deposit_ext_5,21.62524,85.62896,1,0.312,0.2289,0.196,0.1977,0.48,341.5,3.8,568.103,25.34,9.52,0.61,True
bg_327,21.78175,80.31866,0,0.4358,0.2992,0.264,0.2996,0.4331,547.2,8.3,10.855,25.56,9.39,0.55,True
bg_428,21.51522,80.05944,0,0.2932,0.2271,0.1868,0.2149,0.4333,342.1,3.8,37.827,27.04,9.66,0.55,True
bg_13,21.79993,80.32911,0,0.4491,0.3331,0.2768,0.346,0.4388,547.2,8.6,10.164,25.56,9.39,0.55,True
bg_395,21.64156,78.85396,0,0.3169,0.2535,0.1879,0.2387,0.4431,454.8,5.9,39.722,26.8,7.89,0.55,True
Kandri_Mine_ext_2,21.37936,79.34816,1,0.6906,0.4778,0.4105,0.4735,0.4175,371.2,10.9,3.127,27.04,8.83,0.56,True
bg_49,22.4253,80.21108,0,0.3248,0.2291,0.1766,0.247,0.4279,508.3,6.1,62.983,25.74,9.89,0.58,True
Sitapatore_Mine_ext_5,21.52464,79.71866,1,0.2986,0.2534,0.1859,0.217,0.5045,342.1,3.4,25.771,27.04,9.66,0.55,True
bg_167,22.02302,80.04535,0,0.3062,0.2276,0.2077,0.2238,0.5073,469.5,4.8,26.774,26.16,9.74,0.56,True
Gowari_Wadhona_ext_1,21.58409,79.04353,1,0.2902,0.2251,0.1883,0.2075,0.5125,454.8,4.5,27.947,26.8,7.89,0.55,True
bg_126,22.48101,78.53012,0,0.3112,0.2187,0.1507,0.2097,0.4272,649.4,7.9,132.517,25.06,9.84,0.55,True
bg_67,22.01569,79.74827,0,0.3078,0.2277,0.1715,0.2058,0.4853,469.5,5.3,17.72,26.16,9.74,0.56,True
bg_368,21.52335,79.46044,0,0.3011,0.2196,0.1549,0.2154,0.4171,371.2,3.4,22.276,27.04,8.83,0.56,True
bg_39,21.77486,79.27028,0,0.3454,0.2408,0.1831,0.2168,0.3954,557.7,6.9,37.238,25.76,9.21,0.57,True
Ukwa_Mine,21.93,80.52,1,0.7525,0.6127,0.4645,0.5322,0.3756,547.2,16.1,0.0,25.56,9.39,0.55,True
Chikla_Mine_ext_5,21.30596,79.67756,1,0.7008,0.5673,0.4132,0.5022,0.3682,371.2,10.8,2.058,27.04,8.83,0.56,True
Dongri_Buzurg_ext_4,20.98171,79.35903,1,0.6887,0.5254,0.4033,0.5114,0.3372,282.6,11.0,2.304,27.54,8.94,0.56,True
bg_50,22.17196,78.57712,0,0.2956,0.2771,0.1454,0.2381,0.4604,637.8,7.5,106.12,25.39,8.91,0.56,True
bg_22,21.4312,79.40262,0,0.4179,0.3159,0.2585,0.3023,0.4633,371.2,7.0,10.789,27.04,8.83,0.56,True
bg_360,21.73651,80.77176,0,0.2903,0.2166,0.1889,0.1939,0.4757,414.8,4.7,35.245,26.26,9.4,0.56,True
bg_290,22.25331,80.35509,0,0.3059,0.2509,0.1835,0.2069,0.4457,602.7,7.1,40.286,25.09,9.48,0.58,True
